Planet,Mission,Mission Type,Rotation,Item,Droprate,Droprate Category
Mercury,Apollodorus ,(Survival),A,Synthula,14.29,Uncommon
Mercury,Apollodorus ,(Survival),A,1000 Credits Cache,14.29,Uncommon
Mercury,Apollodorus ,(Survival),A,1500 Credits Cache,14.29,Uncommon
Mercury,Apollodorus ,(Survival),A,2000 Credits Cache,14.29,Uncommon
Mercury,Apollodorus ,(Survival),A,15 Endo,14.29,Uncommon
Mercury,Apollodorus ,(Survival),A,50 Endo,14.29,Uncommon
Mercury,Apollodorus ,(Survival),A,80 Endo,14.29,Uncommon
Mercury,Apollodorus ,(Survival),B,Lith H2 Relic,8.33,Rare
Mercury,Apollodorus ,(Survival),B,Parry,8.33,Rare
Mercury,Apollodorus ,(Survival),B,Steel Fiber,8.33,Rare
Mercury,Apollodorus ,(Survival),B,Serration,8.33,Rare
Mercury,Apollodorus ,(Survival),B,Incendiary Coat,8.33,Rare
Mercury,Apollodorus ,(Survival),B,Hornet Strike,8.33,Rare
Mercury,Apollodorus ,(Survival),B,Intensify,8.33,Rare
Mercury,Apollodorus ,(Survival),B,Lith P1 Relic,8.33,Rare
Mercury,Apollodorus ,(Survival),B,Lith O1 Relic,8.33,Rare
Mercury,Apollodorus ,(Survival),B,Lith Z2 Relic,8.33,Rare
Mercury,Apollodorus ,(Survival),B,Lith C3 Relic,8.33,Rare
Mercury,Apollodorus ,(Survival),B,Lith B5 Relic,8.33,Rare
Mercury,Apollodorus ,(Survival),C,Lith H2 Relic,12.91,Uncommon
Mercury,Apollodorus ,(Survival),C,Arrow Mutation,3.76,Rare
Mercury,Apollodorus ,(Survival),C,Rifle Ammo Mutation,3.76,Rare
Mercury,Apollodorus ,(Survival),C,Sniper Ammo Mutation,3.76,Rare
Mercury,Apollodorus ,(Survival),C,Shotgun Ammo Mutation,3.76,Rare
Mercury,Apollodorus ,(Survival),C,Pistol Ammo Mutation,3.76,Rare
Mercury,Apollodorus ,(Survival),C,Cleanse Grineer,3.76,Rare
Mercury,Apollodorus ,(Survival),C,Lith P1 Relic,12.91,Uncommon
Mercury,Apollodorus ,(Survival),C,Lith O1 Relic,12.91,Uncommon
Mercury,Apollodorus ,(Survival),C,Lith Z2 Relic,12.91,Uncommon
Mercury,Apollodorus ,(Survival),C,Lith C3 Relic,12.91,Uncommon
Mercury,Apollodorus ,(Survival),C,Lith B5 Relic,12.91,Uncommon
Mercury,Lares ,(Defense),A,Synthula,9.09,Rare
Mercury,Lares ,(Defense),A,Magazine Warp,9.09,Rare
Mercury,Lares ,(Defense),A,Trick Mag,9.09,Rare
Mercury,Lares ,(Defense),A,Pressure Point,9.09,Rare
Mercury,Lares ,(Defense),A,Ammo Drum,9.09,Rare
Mercury,Lares ,(Defense),A,Lith H2 Relic,9.09,Rare
Mercury,Lares ,(Defense),A,Lith P1 Relic,9.09,Rare
Mercury,Lares ,(Defense),A,Lith O1 Relic,9.09,Rare
Mercury,Lares ,(Defense),A,Lith Z2 Relic,9.09,Rare
Mercury,Lares ,(Defense),A,Lith C3 Relic,9.09,Rare
Mercury,Lares ,(Defense),A,Lith B5 Relic,9.09,Rare
Mercury,Lares ,(Defense),B,Reflex Coil,8.33,Rare
Mercury,Lares ,(Defense),B,Cryo Rounds,8.33,Rare
Mercury,Lares ,(Defense),B,Hell's Chamber,8.33,Rare
Mercury,Lares ,(Defense),B,Shocking Touch,8.33,Rare
Mercury,Lares ,(Defense),B,50 Endo,8.33,Rare
Mercury,Lares ,(Defense),B,Meso T1 Relic,8.33,Rare
Mercury,Lares ,(Defense),B,Meso R1 Relic,8.33,Rare
Mercury,Lares ,(Defense),B,Meso Z1 Relic,8.33,Rare
Mercury,Lares ,(Defense),B,Meso B2 Relic,8.33,Rare
Mercury,Lares ,(Defense),B,Meso S8 Relic,8.33,Rare
Mercury,Lares ,(Defense),B,Meso T3 Relic,8.33,Rare
Mercury,Lares ,(Defense),B,Meso D3 Relic,8.33,Rare
