LongName,RelicTier,Relic,Tier,Item,Droprate,Droprate Category
Axi A1 Relic,Axi,A1,Intact,Akstiletto Prime Barrel,11.00,Uncommon
Axi A1 Relic,Axi,A1,Intact,Trinity Prime Systems Blueprint,25.33,Uncommon
Axi A1 Relic,Axi,A1,Intact,Fragor Prime Head,25.33,Uncommon
Axi A1 Relic,Axi,A1,Intact,Dual Kamas Prime Handle,11.00,Uncommon
Axi A1 Relic,Axi,A1,Intact,Braton Prime Stock,25.33,Uncommon
Axi A1 Relic,Axi,A1,Intact,Nikana Prime Blueprint,2.00,Rare
Axi A1 Relic (Exceptional),Axi,A1,Exceptional,Akstiletto Prime Barrel,13.00,Uncommon
Axi A1 Relic (Exceptional),Axi,A1,Exceptional,Trinity Prime Systems Blueprint,23.33,Uncommon
Axi A1 Relic (Exceptional),Axi,A1,Exceptional,Fragor Prime Head,23.33,Uncommon
Axi A1 Relic (Exceptional),Axi,A1,Exceptional,Dual Kamas Prime Handle,13.00,Uncommon
Axi A1 Relic (Exceptional),Axi,A1,Exceptional,Braton Prime Stock,23.33,Uncommon
Axi A1 Relic (Exceptional),Axi,A1,Exceptional,Nikana Prime Blueprint,4.00,Rare
Axi A1 Relic (Flawless),Axi,A1,Flawless,Akstiletto Prime Barrel,17.00,Uncommon
Axi A1 Relic (Flawless),Axi,A1,Flawless,Trinity Prime Systems Blueprint,20.00,Uncommon
Axi A1 Relic (Flawless),Axi,A1,Flawless,Fragor Prime Head,20.00,Uncommon
Axi A1 Relic (Flawless),Axi,A1,Flawless,Dual Kamas Prime Handle,17.00,Uncommon
Axi A1 Relic (Flawless),Axi,A1,Flawless,Braton Prime Stock,20.00,Uncommon
Axi A1 Relic (Flawless),Axi,A1,Flawless,Nikana Prime Blueprint,6.00,Rare
Axi A1 Relic (Radiant),Axi,A1,Radiant,Akstiletto Prime Barrel,20.00,Uncommon
Axi A1 Relic (Radiant),Axi,A1,Radiant,Trinity Prime Systems Blueprint,16.67,Uncommon
Axi A1 Relic (Radiant),Axi,A1,Radiant,Fragor Prime Head,16.67,Uncommon
Axi A1 Relic (Radiant),Axi,A1,Radiant,Dual Kamas Prime Handle,20.00,Uncommon
Axi A1 Relic (Radiant),Axi,A1,Radiant,Braton Prime Stock,16.67,Uncommon
Axi A1 Relic (Radiant),Axi,A1,Radiant,Nikana Prime Blueprint,10.00,Uncommon
Axi A2 Relic,Axi,A2,Intact,Aklex Prime Link,2.00,Rare
Axi A2 Relic,Axi,A2,Intact,Aklex Prime Blueprint,11.00,Uncommon
Axi A2 Relic,Axi,A2,Intact,Lex Prime Blueprint,11.00,Uncommon
Axi A2 Relic,Axi,A2,Intact,Lex Prime Receiver,25.33,Uncommon
Axi A2 Relic,Axi,A2,Intact,Forma Blueprint,25.33,Uncommon
Axi A2 Relic,Axi,A2,Intact,Lex Prime Barrel,25.33,Uncommon
Axi A2 Relic (Exceptional),Axi,A2,Exceptional,Aklex Prime Link,4.00,Rare
Axi A2 Relic (Exceptional),Axi,A2,Exceptional,Aklex Prime Blueprint,13.00,Uncommon
Axi A2 Relic (Exceptional),Axi,A2,Exceptional,Lex Prime Blueprint,13.00,Uncommon
Axi A2 Relic (Exceptional),Axi,A2,Exceptional,Lex Prime Receiver,23.33,Uncommon
Axi A2 Relic (Exceptional),Axi,A2,Exceptional,Forma Blueprint,23.33,Uncommon
Axi A2 Relic (Exceptional),Axi,A2,Exceptional,Lex Prime Barrel,23.33,Uncommon
Axi A2 Relic (Flawless),Axi,A2,Flawless,Aklex Prime Link,6.00,Rare
Axi A2 Relic (Flawless),Axi,A2,Flawless,Aklex Prime Blueprint,17.00,Uncommon
Axi A2 Relic (Flawless),Axi,A2,Flawless,Lex Prime Blueprint,17.00,Uncommon
Axi A2 Relic (Flawless),Axi,A2,Flawless,Lex Prime Receiver,20.00,Uncommon
Axi A2 Relic (Flawless),Axi,A2,Flawless,Forma Blueprint,20.00,Uncommon
Axi A2 Relic (Flawless),Axi,A2,Flawless,Lex Prime Barrel,20.00,Uncommon
Axi A2 Relic (Radiant),Axi,A2,Radiant,Aklex Prime Link,10.00,Uncommon
Axi A2 Relic (Radiant),Axi,A2,Radiant,Aklex Prime Blueprint,20.00,Uncommon
Axi A2 Relic (Radiant),Axi,A2,Radiant,Lex Prime Blueprint,20.00,Uncommon
Axi A2 Relic (Radiant),Axi,A2,Radiant,Lex Prime Receiver,16.67,Uncommon
Axi A2 Relic (Radiant),Axi,A2,Radiant,Forma Blueprint,16.67,Uncommon
Axi A2 Relic (Radiant),Axi,A2,Radiant,Lex Prime Barrel,16.67,Uncommon
Axi A3 Relic,Axi,A3,Intact,Akbolto Prime Receiver,2.00,Rare
Axi A3 Relic,Axi,A3,Intact,Hydroid Prime Neuroptics Blueprint,11.00,Uncommon
Axi A3 Relic,Axi,A3,Intact,Cernos Prime String,11.00,Uncommon
Axi A3 Relic,Axi,A3,Intact,Braton Prime Barrel,25.33,Uncommon
Axi A3 Relic,Axi,A3,Intact,Helios Prime Carapace,25.33,Uncommon
Axi A3 Relic,Axi,A3,Intact,Kogake Prime Boot,25.33,Uncommon
Axi A3 Relic (Exceptional),Axi,A3,Exceptional,Akbolto Prime Receiver,4.00,Rare
Axi A3 Relic (Exceptional),Axi,A3,Exceptional,Hydroid Prime Neuroptics Blueprint,13.00,Uncommon
Axi A3 Relic (Exceptional),Axi,A3,Exceptional,Cernos Prime String,13.00,Uncommon
Axi A3 Relic (Exceptional),Axi,A3,Exceptional,Braton Prime Barrel,23.33,Uncommon
Axi A3 Relic (Exceptional),Axi,A3,Exceptional,Helios Prime Carapace,23.33,Uncommon
Axi A3 Relic (Exceptional),Axi,A3,Exceptional,Kogake Prime Boot,23.33,Uncommon
Axi A3 Relic (Flawless),Axi,A3,Flawless,Akbolto Prime Receiver,6.00,Rare
Axi A3 Relic (Flawless),Axi,A3,Flawless,Hydroid Prime Neuroptics Blueprint,17.00,Uncommon
Axi A3 Relic (Flawless),Axi,A3,Flawless,Cernos Prime String,17.00,Uncommon
Axi A3 Relic (Flawless),Axi,A3,Flawless,Braton Prime Barrel,20.00,Uncommon
Axi A3 Relic (Flawless),Axi,A3,Flawless,Helios Prime Carapace,20.00,Uncommon
Axi A3 Relic (Flawless),Axi,A3,Flawless,Kogake Prime Boot,20.00,Uncommon
Axi A3 Relic (Radiant),Axi,A3,Radiant,Akbolto Prime Receiver,10.00,Uncommon
Axi A3 Relic (Radiant),Axi,A3,Radiant,Hydroid Prime Neuroptics Blueprint,20.00,Uncommon
Axi A3 Relic (Radiant),Axi,A3,Radiant,Cernos Prime String,20.00,Uncommon
Axi A3 Relic (Radiant),Axi,A3,Radiant,Braton Prime Barrel,16.67,Uncommon
Axi A3 Relic (Radiant),Axi,A3,Radiant,Helios Prime Carapace,16.67,Uncommon
Axi A3 Relic (Radiant),Axi,A3,Radiant,Kogake Prime Boot,16.67,Uncommon
Axi A4 Relic,Axi,A4,Intact,Akbolto Prime Receiver,2.00,Rare
Axi A4 Relic,Axi,A4,Intact,Fang Prime Handle,11.00,Uncommon
Axi A4 Relic,Axi,A4,Intact,Ballistica Prime String,11.00,Uncommon
Axi A4 Relic,Axi,A4,Intact,Braton Prime Stock,25.33,Uncommon
Axi A4 Relic,Axi,A4,Intact,Forma Blueprint,25.33,Uncommon
Axi A4 Relic,Axi,A4,Intact,Zephyr Prime Neuroptics Blueprint,25.33,Uncommon
Axi A4 Relic (Exceptional),Axi,A4,Exceptional,Akbolto Prime Receiver,4.00,Rare
Axi A4 Relic (Exceptional),Axi,A4,Exceptional,Fang Prime Handle,13.00,Uncommon
Axi A4 Relic (Exceptional),Axi,A4,Exceptional,Ballistica Prime String,13.00,Uncommon
Axi A4 Relic (Exceptional),Axi,A4,Exceptional,Braton Prime Stock,23.33,Uncommon
Axi A4 Relic (Exceptional),Axi,A4,Exceptional,Forma Blueprint,23.33,Uncommon
Axi A4 Relic (Exceptional),Axi,A4,Exceptional,Zephyr Prime Neuroptics Blueprint,23.33,Uncommon
Axi A4 Relic (Flawless),Axi,A4,Flawless,Akbolto Prime Receiver,6.00,Rare
Axi A4 Relic (Flawless),Axi,A4,Flawless,Fang Prime Handle,17.00,Uncommon
Axi A4 Relic (Flawless),Axi,A4,Flawless,Ballistica Prime String,17.00,Uncommon
Axi A4 Relic (Flawless),Axi,A4,Flawless,Braton Prime Stock,20.00,Uncommon
Axi A4 Relic (Flawless),Axi,A4,Flawless,Forma Blueprint,20.00,Uncommon
Axi A4 Relic (Flawless),Axi,A4,Flawless,Zephyr Prime Neuroptics Blueprint,20.00,Uncommon
Axi A4 Relic (Radiant),Axi,A4,Radiant,Akbolto Prime Receiver,10.00,Uncommon
Axi A4 Relic (Radiant),Axi,A4,Radiant,Fang Prime Handle,20.00,Uncommon
Axi A4 Relic (Radiant),Axi,A4,Radiant,Ballistica Prime String,20.00,Uncommon
Axi A4 Relic (Radiant),Axi,A4,Radiant,Braton Prime Stock,16.67,Uncommon
Axi A4 Relic (Radiant),Axi,A4,Radiant,Forma Blueprint,16.67,Uncommon
Axi A4 Relic (Radiant),Axi,A4,Radiant,Zephyr Prime Neuroptics Blueprint,16.67,Uncommon
Axi B1 Relic,Axi,B1,Intact,Banshee Prime Systems Blueprint,2.00,Rare
Axi B1 Relic,Axi,B1,Intact,Cernos Prime Blueprint,11.00,Uncommon
Axi B1 Relic,Axi,B1,Intact,Kavasa Prime Buckle,11.00,Uncommon
Axi B1 Relic,Axi,B1,Intact,Euphona Prime Blueprint,25.33,Uncommon
Axi B1 Relic,Axi,B1,Intact,Ash Prime Chassis Blueprint,25.33,Uncommon
Axi B1 Relic,Axi,B1,Intact,Fang Prime Blade,25.33,Uncommon
Axi B1 Relic (Exceptional),Axi,B1,Exceptional,Banshee Prime Systems Blueprint,4.00,Rare
Axi B1 Relic (Exceptional),Axi,B1,Exceptional,Cernos Prime Blueprint,13.00,Uncommon
Axi B1 Relic (Exceptional),Axi,B1,Exceptional,Kavasa Prime Buckle,13.00,Uncommon
Axi B1 Relic (Exceptional),Axi,B1,Exceptional,Euphona Prime Blueprint,23.33,Uncommon
Axi B1 Relic (Exceptional),Axi,B1,Exceptional,Ash Prime Chassis Blueprint,23.33,Uncommon
Axi B1 Relic (Exceptional),Axi,B1,Exceptional,Fang Prime Blade,23.33,Uncommon
Axi B1 Relic (Flawless),Axi,B1,Flawless,Banshee Prime Systems Blueprint,6.00,Rare
Axi B1 Relic (Flawless),Axi,B1,Flawless,Cernos Prime Blueprint,17.00,Uncommon
Axi B1 Relic (Flawless),Axi,B1,Flawless,Kavasa Prime Buckle,17.00,Uncommon
Axi B1 Relic (Flawless),Axi,B1,Flawless,Euphona Prime Blueprint,20.00,Uncommon
Axi B1 Relic (Flawless),Axi,B1,Flawless,Ash Prime Chassis Blueprint,20.00,Uncommon
Axi B1 Relic (Flawless),Axi,B1,Flawless,Fang Prime Blade,20.00,Uncommon
Axi B1 Relic (Radiant),Axi,B1,Radiant,Banshee Prime Systems Blueprint,10.00,Uncommon
Axi B1 Relic (Radiant),Axi,B1,Radiant,Cernos Prime Blueprint,20.00,Uncommon
Axi B1 Relic (Radiant),Axi,B1,Radiant,Kavasa Prime Buckle,20.00,Uncommon
Axi B1 Relic (Radiant),Axi,B1,Radiant,Euphona Prime Blueprint,16.67,Uncommon
Axi B1 Relic (Radiant),Axi,B1,Radiant,Ash Prime Chassis Blueprint,16.67,Uncommon
Axi B1 Relic (Radiant),Axi,B1,Radiant,Fang Prime Blade,16.67,Uncommon
Axi B2 Relic,Axi,B2,Intact,Banshee Prime Systems Blueprint,2.00,Rare
Axi B2 Relic,Axi,B2,Intact,Forma Blueprint,11.00,Uncommon
Axi B2 Relic,Axi,B2,Intact,Orthos Prime Blueprint,11.00,Uncommon
Axi B2 Relic,Axi,B2,Intact,Fragor Prime Head,25.33,Uncommon
Axi B2 Relic,Axi,B2,Intact,Sybaris Prime Blueprint,25.33,Uncommon
Axi B2 Relic,Axi,B2,Intact,Fang Prime Blade,25.33,Uncommon
Axi B2 Relic (Exceptional),Axi,B2,Exceptional,Banshee Prime Systems Blueprint,4.00,Rare
